id,question,answer,category,tags,alt_questions
69,cha480-baye (bộ chai baye),"- (IMG_KEY: chai-480-baye) - Chai BAYE trắng đục 480ml HDPE, nắp trắng - Đóng được các dạng SC, SL - THU450-01 - 30 chai / thùng - Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0 3.2023)",chai,480ml|EC|HDPE|SC|SL,cha480-baye (bộ chai baye) là gì?
70,cha480-11,"- (IMG_KEY: chai-nhom-bac-480-11) - Chai 480-11 (Chai nhôm tròn màu bạc 480ml, nắp trắng 3 bộ phận) - Đóng EC, SL - Thường đóng thùng khách hàng mang tới - Không đóng SC",chai,480ml|EC|NHOM|NHÔM|SC|SL,cha480-11 là gì? | thông tin chi tiết về cha480-11
71,bộ chai đặt riêng cho khách (1 lít),- (IMG_KEY: chai-BASP-1LIT-115gr) - (IMG_KEY: chai-BAYE-1LIT-115gr),chai,1lit|1lít,bộ chai đặt riêng cho khách (1 lít) là gì?
72,chag-240-0002,"- (IMG_KEY: chai-240-0002) - Chai BAYE trắng đục 240ml HDPE, nắp trắng - Đóng được các dạng SC, SL - THU240-08 - 40 chai / thùng - Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0 3.2023)",chai,240ml|EC|HDPE|SC|SL,chag-240-0002 là gì? | thông tin chi tiết về chag-240-0002
73,chag-480-0002,"- (IMG_KEY: chai-480-0002) - Chai BAYE trắng đục 480ml HDPE, nắp trắng - Đóng được các dạng SC, SL - THU450-01 - 30 chai / thùng - Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0 3.2023)",chai,480ml|EC|HDPE|SC|SL,chag-480-0002 là gì? | thông tin chi tiết về chag-480-0002
74,chag-1000-0002,"- (IMG_KEY: chai-1000-0002) - Chai BAYE trắng đục 1 lit HDPE, nắp trắng - Đóng được các dạng SC, SL - THU1000-03 - 20 chai / thùng - Không đóng EC (Đóng được các loại SC, SL sau: Hexa, Mi stop 350SC, Kosho ohayo 24SC (KQ test 0 3.2023). Trọng lượng tối thiểu 115gr (0 7.10.2024)",chai,1lit|EC|HDPE|SC|SL,chag-1000-0002 là gì? | thông tin chi tiết về chag-1000-0002
75,chag-100-0015,"- (IMG_KEY: chai-100-0015) - Chai 100-15 (Chai nhôm tròn màu bạc 100ml, nắp trắng 3 bộ phận) - Đóng EC, SL - Lâu lắm chưa đóng, check lại thùng - Không đóng SC",chai,100ml|EC|NHÔM|SC|SL,chag-100-0015 là gì? | thông tin chi tiết về chag-100-0015
76,chag-240-0007,"- (IMG_KEY: chai-240-0007) - Chai 240-0007 (Chai nhôm tròn màu bạc 240ml, nắp trắng 3 bộ phận) - Đóng EC, SL - THU240-06 - 40 chai / thùng - Không đóng SC",chai,240ml|EC|NHÔM|SC|SL,chag-240-0007 là gì? | thông tin chi tiết về chag-240-0007
77,chag-240-0009,"- (IMG_KEY: chai-240-0009) - Chai 240-09 (Chai nhôm tròn màu vàng 240ml, nắp trắng 3 bộ phận) - Đóng EC, SL - THU240-06 - 40 chai / thùng - Không đóng SC",chai,240ml|EC|NHÔM|SC|SL,chag-240-0009 là gì? | thông tin chi tiết về chag-240-0009
78,chag-480-0005,"- (IMG_KEY: chai-480-0005) - Chai 480-05 (Chai nhôm tròn màu vàng 480ml, nắp trắng 3 bộ phận) - Đóng EC, SL - Thường đóng thùng khách hàng mang tới - Không đóng SC",chai,480ml|EC|NHÔM|SC|SL,chag-480-0005 là gì? | thông tin chi tiết về chag-480-0005
79,chag-480-0006,"- (IMG_KEY: chai-480-0006) - Chai 480-06 (Chai nhôm tròn màu bạc 480ml, nắp trắng 3 bộ phận) - Đóng EC, SL - Thường đóng thùng khách hàng mang tới - Không đóng SC",chai,480ml|EC|NHÔM|SC|SL,chag-480-0006 là gì? | thông tin chi tiết về chag-480-0006
80,chag-1000-0005,"- (IMG_KEY: chai-1000-0005) - Chai 1000-05 (Chai nhôm tròn màu bạc 1000ml, nắp trắng 3 bộ phận) - Đóng EC, SL - THU1000-03 - 20 chai / thùng - Không đóng SC",chai,1000ml|EC|NHÔM|SC|SL,chag-1000-0005 là gì? | thông tin chi tiết về chag-1000-0005
81,chag-1000-0008,"- (IMG_KEY: chai-1000-0008) - Chai 1000-08 (Chai nhôm tròn màu vàng 1000ml, nắp trắng 3 bộ phận) - Đóng EC, SL - THU1000-03 - 20 chai / thùng - Không đóng SC",chai,1000ml|EC|NHÔM|SC|SL,chag-1000-0008 là gì? | thông tin chi tiết về chag-1000-0008
82,bộ chai đặt riêng cho khách,(IMG_KEY: bo-chai-dat-rieng-cho-khach-1),chai,,bộ chai đặt riêng cho khách là gì?
83,bộ chai khách hàng mang tới,1. CHO VỀ THEO KẾ HOẠCH SẢN XUẤT 2. GỬI MẪU TRƯỚC CHO VẬT TƯ > THIẾT KẾ NHÃN,ke_hoach_vat_tu,kế_hoạch|thiết_kế,bộ chai khách hàng mang tới là gì?
84,thùng,1. THÙNG 5 LỚP CHỐNG THẤM 2. THÙNG 5 LỚP CHẤT LƯỢNG NHƯ 7 LỚP 3. THÙNG 7 LỚP CÁN MÀNG 4. THÙNG OFFSET,thung,,thùng là gì?
85,thùng offset,1. Q7 900ML BMC 2. Q7 900ML PHÚC THỊNH 3. Q10 900ML DELTA 4. TRÂU RỪNG MỚI 900ML DELTA 5. GUSSI NHÃN ĐỎ 900ML DELTA 6. VOI RỪNG 900ML AGRISHOP 7. PHƯỢNG HOÀNG LỬA 900ML DELTA 8. Q7  4.5LIT BMC 9. Q7  4.5LIT PHÚC THỊNH 10. Q10  4.5LIT DELTA 11. TRÂU RỪNG MỚI  4.5LIT DELTA,thung,5lit|900ml,thùng offset là gì?
86,thay đổi trên thùng,- (IMG_KEY: thay-doi-tren-thung-1) - (IMG_KEY: thay-doi-tren-thung-2) - (IMG_KEY: thay-doi-tren-thung-3),thung,,thay đổi trên thùng là gì?
87,thùng q7 900ml bmc,- Thùng q7 900ml bmc: (IMG_KEY: thung-q7-900ml-bmc),thung,900ml,thùng q7 900ml bmc là gì?
88,thùng q7 900ml phúc thịnh,- Thùng q7 900ml phúc thịnh: (IMG_KEY: thung-q7-900ml-phuc-thinh),thung,900ml,thùng q7 900ml phúc thịnh là gì?
89,thùng q10 900ml delta,- Thùng q10 900ml delta: (IMG_KEY: thung-q10-900ml-delta),thung,900ml,thùng q10 900ml delta là gì?
90,thùng trâu rừng mới 900ml delta,- Thùng trâu rừng mới 900ml delta: (IMG_KEY: thung-trau-rung-moi-900ml-delta),thung,900ml,thùng trâu rừng mới 900ml delta là gì?
91,thùng gussi nhãn đỏ 900ml delta,- Thùng gussi nhãn đỏ 900ml delta: (IMG_KEY: thung-gussi-nhan-do-900ml-delta),thung,900ml,thùng gussi nhãn đỏ 900ml delta là gì?
92,thùng voi rừng 900ml agrishop,- Thùng voi rừng 900ml agrishop: (IMG_KEY: thung-voi-rung-900ml-agrishop),thung,900ml,thùng voi rừng 900ml agrishop là gì?
93,thùng phượng hoàng lửa 900ml delta,- Thùng phượng hoàng lửa 900ml delta: (IMG_KEY: thung-phuong-hoang-lua-900ml-delta),thung,900ml,thùng phượng hoàng lửa 900ml delta là gì?
94,thùng q7 4.5l bmc,- Thùng q7 4.5l bmc: (IMG_KEY: thung-q7-4.5L-BMC),thung,4.5l,thùng q7 4.5l bmc là gì?
95,thùng q7 4.5l phúc thịnh,- Thùng q7 4.5l phúc thịnh: (IMG_KEY: thung-q7-4.5L-phuc-thinh),thung,4.5l,thùng q7 4.5l phúc thịnh là gì?
96,thùng q10 4.5l delta,- Thùng q10 4.5l delta: (IMG_KEY: thung-q10-4.5L-delta),thung,4.5l,thùng q10 4.5l delta là gì?
97,thùng trâu rừng mới 4.5l delta,- Thùng trâu rừng mới 4.5l delta: (IMG_KEY: thung-trau-rung-moi-4.5L-delta),thung,4.5l,thùng trâu rừng mới 4.5l delta là gì?
98,tem chống giả,- Tem chống giả: - (IMG_KEY: tem-chong-gia-delta) - (IMG_KEY: tem-chong-gia-BMC) - (IMG_KEY: vi-tri-dan-tem-chong-gia),nhan_mang_tui,chống_giả,tem chống giả là gì?
99,thay đổi trên nhãn chai,- Thay đổi trên nhãn chai: (IMG_KEY: thay-doi-tren-nhan-chai),chai,,thay đổi trên nhãn chai là gì?
100,nhãn + màng + túi,- (IMG_KEY: nhan-mang-tui-azin-rio) - (IMG_KEY: nhan-mang-tui-kenbast) - (IMG_KEY: nhan-mang-tui-gussi-bastar),nhan_mang_tui,,nhãn + màng + túi là gì?
101,các loại vật tư (chai) sẽ chuyển đổi nắp + seal có logo bmc,"1. CÁC LOẠI VẬT TƯ (CHAI) SẼ CHUYỂN ĐỔI NẮP + SEAL CÓ LOGO BMC(IMG_KEY: chuyen-doi-nap-seal-co-logo-bmc) 2. CHUYỂN ĐỔI CHAI 30-01: VUÔNG TRẮNG TRONG NẮP ĐỎ SANG  CHAI TRẮNG ĐỤC 30-02 (VẪN NẮP ĐỎ)(IMG_KEY: chuyen-doi-chai-30-01) 3. SẢN PHẨM GARDONA 250SL KHÔNG PHÙ HỢP ĐÓNG BỘ CHAI PET TRÒN TRẮNG 100-03, 240-04, 480-01, 1000-03 VÀ CHAI 100-14  4. THIẾT KẾ SEAL MỚI > PHÂN BIỆT(IMG_KEY: seal-hd-seal-pet)",chai,PET|thiết_kế,các loại vật tư (chai) sẽ chuyển đổi nắp + seal có logo bmc là gì?
102,tính kế hoạch vật tư," ""I. Tính kế hoạch vật tư hằng ngày và II. Tính kế hoạch đặt vật tư dự phòng""",ke_hoach_vat_tu,kế_hoạch,tính kế hoạch vật tư là gì?
103,tính kế hoạch vật tư hằng ngày,"TÍNH KẾ HOẠCH VẬT TƯ HẰNG NGÀY  Các bước thực hiện:  1. Tính kế hoạch sản xuất 2. Kiểm số lượng vật tư tồn trong kho 3. Tính kế hoạch sử dụng vật tư 4. Đặt hàng 5. Cập nhật kế hoạch đặt hàng cho kho vật tư 6. Theo dõi, kiểm tra và cập nhật những thay đổi (nếu có)  ------------------------------------------ 1. Tính kế hoạch sản xuất ------------------------------------------  * Tính số lượng thùng, chai sử dụng cho ngày tiếp theo dựa trên kế hoạch sản xuất.  - Thùng: số lượng tổng của 1 loại thùng sử dụng trong kế hoạch. - Chai: số lượng tổng mỗi loại chai = số kiện × quy cách thùng.  ------------------------------------------ 2. Kiểm số lượng vật tư tồn trong kho ------------------------------------------  * Kiểm tra tồn kho từng loại chai có trong kế hoạch hôm sau và ghi nhận số lượng tương đối (lưu ý số lượng kiểm tra không được nhiều hơn số lượng thực tế tại kho).  * Cách đếm: số lượng chai trong bao × tổng số bao chai (lưu ý kiểm tra cách xếp trên pallet 1 lớp gồm bao nhiêu bao).  * Tồn chai các xưởng: 1, 4, 5 * Tồn thùng các xưởng: 1 và 3  * Lưu ý: một số loại chai tồn kho ít → cần có phương án cho về dự phòng.  ------------------------------------------ 3. Tính kế hoạch sử dụng vật tư ------------------------------------------  Kết hợp với kho vật tư để tính kế hoạch dự kiến sử dụng vật tư trong ngày:  * Kiểm tra từng loại chai, thùng có trong kế hoạch ngày mai → có kế hoạch sử dụng trong buổi chiều hay không. * Từ số liệu tồn kho thực tế – số lượng dự kiến dùng trong ngày = TỒN KHO THỰC TẾ CUỐI NGÀY.  Tính số lượng vật tư cần đặt thêm:  Nếu tồn kho cuối ngày – kế hoạch sản xuất ngày tiếp theo ≥ tồn MIN vật tư → KHÔNG cần đặt thêm. Ngược lại → cần ĐẶT THÊM để đảm bảo đủ cho sản xuất.  Ví dụ:  Tồn thực tế chai 450-02: 10.000 chai Số lượng sử dụng trong ngày: 4.000 chai Tồn cuối ngày: 6.000 chai  Kế hoạch ngày tiếp theo sử dụng 450-02: 12.000 chai Tồn kho MIN loại này: 8.000 chai  → Ít nhất cần đặt thêm: 6.000 chai 450-02 để đủ kế hoạch → Số lượng đặt hàng lý tưởng: 14.000 chai  ------------------------------------------ 4. Đặt hàng ------------------------------------------  * Ưu tiên đặt hàng nhà cung cấp trước 15h hằng ngày để nhà cung cấp có kế hoạch sắp xếp xe giao hàng hoặc xử lý phát sinh (ví dụ: hết xe, không đủ hàng,…).  * Phân bổ vật tư và đặt hàng trên nhóm ZALO (danh sách nhà cung cấp đính kèm).  Lưu ý: * Không dồn quá nhiều mã chai lớn cho một nhà cung cấp. * Các mã có lượng dùng lớn (1000-02, 1000-04, can 5L…) chia đều cho 2–3 nhà cung cấp. * Chú ý thời gian giao hàng: gấp hay chỉ cần giao trong ngày. * Luôn có nhà cung cấp dự phòng thứ 3. * Đặt hàng xoay vòng giữa các nhà cung cấp. * Kiểm tra nhà cung cấp đã xác nhận giao hàng hay chưa. * Phân bổ số lượng theo chuyến xe (mang tính hỗ trợ nhà cung cấp, không bắt buộc).  ------------------------------------------ 5. Cập nhật kế hoạch đặt hàng cho kho vật tư ------------------------------------------  * Sau khi đặt hàng xong, bộ phận vật tư thông báo cụ thể số lượng và nhà cung cấp giao hàng trên nhóm → kho chủ động sắp xếp vị trí. * Thông báo thay đổi nhà cung cấp theo quy tắc “cuốn chiếu” (dùng hết nhà cung cấp này mới chuyển sang nhà cung cấp khác). * Trường hợp nhà cung cấp không giao đủ:   - Báo ngay cho người hướng dẫn để được xử lý.   - Nếu ảnh hưởng kế hoạch → báo sản xuất và kinh doanh để điều chỉnh kế hoạch phù hợp.  ------------------------------------------ 6. Theo dõi, kiểm tra và cập nhật các thay đổi ------------------------------------------  * Theo dõi liên tục thông tin trên nhóm nhà cung cấp và nhóm Kho vật tư để cập nhật khả năng đáp ứng và nhu cầu sản xuất. * Nhận thông tin giao hàng của nhà cung cấp: biển số xe + số người giao hàng. * Thông báo trên nhóm giao hàng để bảo vệ mở cổng.",ke_hoach_vat_tu,5l|kiểm_tra|kế_hoạch|tồn_kho,tính kế hoạch vật tư hằng ngày là gì?
104,tính kế hoạch đặt vật tư dự phòng,"TÍNH KẾ HOẠCH ĐẶT VẬT TƯ DỰ PHÒNG  1. Kế hoạch đơn hàng chai thùng 2. Kế hoạch đơn hàng nhãn chung và gói chung  1. KẾ HOẠCH ĐƠN HÀNG CHAI THÙNG  * Dựa vào báo cáo kế hoạch sản xuất hàng tuần * Nhập file theo form 1.4. KH CHAI và 1.4. KH THÙNG trong 2 tuần tiếp theo * VD: tuần 32 → sẽ nhập file tuần 33 và 34 * Tính số lượng chai thùng dự kiến cần sử dụng trong 2 tuần tiếp theo bằng cách nhập số lượng mỗi mã chai hoặc mã thùng có kế hoạch sản xuất * Lên đơn hàng dự phòng  (IMG_KEY: ke-hoach-don-hang-chai-thung)  * Nhập file theo form 1.4. KH CHAI và 1.4. KH THÙNG (vd file chai – file thùng tương tự) (nhap-file-theo-form-1.4.khchai-va-1.4.khthung)  * Từ số liệu có trong FORM, kế tiếp lên kế hoạch đặt hàng dự phòng để sử dụng * Lưu ý: - Đặt số lượng chai thùng dự phòng tại nhà cung cấp, để lấy hàng khi có nhu cầu SX - Luôn dự phòng nhiều nhà cung cấp, không dồn đơn về 1 nhà để tránh rủi ro thiếu hụt - Đặt số lượng vừa phải, để tránh tình trạng biến động giá - Kế hoạch chỉ là tham khảo nên luôn phải theo sát tiến độ thực tế để xử lý tình huống kịp thời  * Cách tạo đơn trên phần mềm MISA (IMG_KEY: cach-tao-don-vat-tu-tren-phan-mem-misa)  2. KẾ HOẠCH ĐƠN HÀNG NHÃN + GÓI CHUNG  2.1. Dựa vào file 1.2 để làm kế hoạch đặt nhãn 2.2. Kiểm tra tốc độ bán + thành phẩm trong kho 2.3. Đặt hàng + lên đơn hàng 2.4. Theo dõi lịch về nhãn/gói và KHSX hằng ngày  2.1. Dựa vào file 1.2 để làm KH đặt nhãn + gói chung  * Dựa vào báo cáo kế hoạch sản xuất hàng tuần * Nhập file theo form 1.2 KH NHÃN GÓI CHUNG trong 2 tuần tiếp theo (tương tự form chai thùng) * VD: tuần 32 → sẽ nhập file tuần 33 và 34 * Tính số lượng kiện sản xuất dự kiến có kế hoạch đóng trong 2 tuần tiếp theo bằng cách nhập số lượng theo từng loại nhãn và quy cách đóng * Lên đơn hàng dự phòng  (IMG_KEY: nhap-file-theo-form-1.2-kh-nhan-goi-chung)  * Lưu ý: KHSX đưa theo thùng nhưng khi đặt sẽ quy ra nhãn/gói (số thùng × quy cách kiện + 2 nhãn/gói dán trên thùng). VD: 50T nhãn 450ml = 2000 + 2 nhãn thùng  (IMG_KEY: luu-y-khsx-dua-theo-thung)  2.2. Kiểm tra tốc độ bán + thành phẩm trong kho  * Để số lượng đặt hàng chính xác và có dự phòng tốt hơn trong mùa vụ cần kiểm tra tốc độ bán và lượng thành phẩm trong kho * Xem tốc độ bán và hàng tồn thành phẩm bằng báo cáo trên MISA:   Báo cáo > Kho > Tổng hợp tồn kho > Chọn tham số > Kho TP > Lùi thời gian 1 tháng > Xem báo cáo  (IMG_KEY: kiem-tra-toc-do-ban-va-thanh-pham-trong-kho)  * Kiểm tra tốc độ bán tất cả các loại nhãn/gói trong 1 tháng:   - Xuất kho (Tốc độ bán)   - Cuối kỳ (Thành phẩm)  (IMG_KEY: kiem-tra-toc-do-ban-tat-ca-cac-loai-nhan-goi-trong-1-thang)  * In nhãn, kế đến check nhãn/gói rồi ghi tên nhãn/gói.   Phân chia nhà in phù hợp (độ gấp/giá/màu sắc,…) → check giá + số lượng in tối thiểu. * Nhãn/gói chung sẽ có 4 pháp nhân (BMC, Delta, Agrishop, Tỷ Phúc Thịnh).   Luôn luôn cập nhật thông tin các nhãn/gói mới và chỉnh sửa để in tái bản chính xác. * Đem đơn hàng qua cho thiết kế xem lại tất cả file in nhãn 1 lần nữa trước khi qua trình ký (Trưởng phòng → Sếp).  (IMG_KEY: goi-roi) (IMG_KEY: goi-mang) (IMG_KEY: decal cuon) (IMG_KEY: nhan-giay)  2.4. Theo dõi lịch về nhãn và KHSX hằng ngày  - Đơn hàng đã ký → Thiết kế gửi file cho nhà in → Duyệt đơn → Theo dõi lịch về (trên group lịch về Zalo). - Theo dõi KHSX hằng ngày để điều phối nhãn hợp lý, tránh thiếu khi sản xuất hoặc về dư gây tồn kho (đặc biệt nhãn 900ml như Trâu Rừng, Khai Hoang Q10/Q7, Phúc Thịnh).  Các sản phẩm cần chú ý xác nhận lại với kinh doanh trước khi đặt: + Kajio 8gr, 5gr + Pilot 450gr - BMC + Pilot 500gr - Phúc Thịnh + Niko - 35gr + Bám dính 10ml  Thời gian gấp tối thiểu cho: Màng (15 ngày); Túi (3-5 ngày); Nhãn (2-3 ngày).",quy_trinh_mua_hang_misa,10ml|450ml|900ml|kiểm_tra|kế_hoạch|thiết_kế|tồn_kho|xuất_kho,tính kế hoạch đặt vật tư dự phòng là gì?
105,quy trình làm phiếu nhập,1. Mua hàng trong nước nhập kho. 2. Mua hàng trong nước không qua kho 3. Mua hàng nhập khẩu qua kho,quy_trinh_mua_hang_misa,mua_hàng|nhập_kho,quy trình làm phiếu nhập là gì?
106,mua hàng trong nước nhập kho,"Mua vật tư nguyên liệu, được kiểm soát số lượng xuất rõ ràng. Ví dụ: chai, thùng, nhãn, nguyên liệu,…  Các dạng thường gặp: - Nhập kho vật tư: chai, thùng, nhãn, gói - Nhập kho nguyên liệu mua trong nước  Kiểm tra phiếu giao hàng: mã vật tư, nhà cung cấp, số lượng,… → nếu OK thì nhập lên phần mềm MISA  LƯU Ý: nhà cung cấp thường không ghi đúng mã vật tư mà chỉ mô tả → cần kiểm tra kỹ để nhập đúng mã vật tư  (IMG_KEY: phieu-giao-hang)  THAO TÁC NHẬP MISA  * Bước 1: Vào Mua hàng → Mua hàng → Thêm (IMG_KEY: buoc-1-mua-hang-trong-nuoc-nhap-kho)  * Bước 2: Chọn mũi tên bên phải và click “Mua hàng trong nước nhập kho”  * Bước 3: Chọn trạng thái hóa đơn theo thực tế:   - Nhận kèm hóa đơn   - Không kèm hóa đơn   - Không có hóa đơn  * Bước 4: Chọn mã nhà cung cấp theo phiếu giao (VD: Thành Phát, Minh Thành)  * Bước 5: Sau khi chọn nhà cung cấp, nhấp biểu tượng bánh răng bên trái → chọn “Lập từ đơn mua hàng”   Sau đó nhấp nút kính lúp để chọn mã vật tư tương ứng  (IMG_KEY: buoc-5-mua-hang-trong-nuoc-nhap-kho)  * Bước 6: Thay đổi thời gian lấy dữ liệu đơn hàng:   - “Từ ngày”: lùi tối thiểu 6 tháng   - “Đến ngày”: tăng 7 ngày so với ngày giao hàng   → nhấn “Lấy dữ liệu”  * Bước 7: Chọn mã vật tư theo phiếu giao   - Nhập từ khóa cần tìm (mã vật tư, ĐMH, tên vật tư,…)   - Chọn đúng toàn bộ vật tư trong phiếu giao   - Nhấn “Đồng ý”  (IMG_KEY: buoc-6-7-mua-hang-trong-nuoc-nhap-kho)  Lưu ý quan trọng tại bước 7: - Nếu một mã vật tư nằm trong nhiều đơn hàng + giá giống nhau → nhập hết số lượng đơn cũ, sau đó mới nhập đơn mới - Nếu một mã có nhiều đơn giá khác nhau → hỏi người hướng dẫn để nhập đúng giá (liên quan đến xuất hóa đơn)  (IMG_KEY: truong-hop-mot-ma-co-nhieu-don-va-gia-khac)  * Bước 8: Nhập số lượng nhận hàng + diễn giải (IMG_KEY: buoc-8-mua-hang-trong-nuoc-nhap-kho)  LƯU Ý khi ở bước 2 chọn “nhận kèm hóa đơn”: - Nhập ký hiệu hóa đơn - Số hóa đơn - Ngày hóa đơn - Kiểm tra % thuế  (IMG_KEY: luu-y-o-buoc-2-chon-nhan-kem-hoa-don)  * Bước 9: Kiểm tra toàn bộ thông tin → nhấn CẤT là hoàn thành  In 2 phiếu kẹp với phiếu giao hàng → đưa cho Kho Vật Tư kiểm tra lại số lượng Kho ký xác nhận → ghi số phiếu vào SỔ PHIẾU NHẬP → đưa cho kế toán ghi sổ  * Một số lưu ý khi nhập chai, thùng, nhãn:   - Có thể nhập vượt tối đa 10% đơn mua hàng   - 3 nhà cung cấp không được nhập vượt 10%: Minh Thành, Tân Phú, Chinh Long   - Chai/nắp, thùng/lót phải nhập đồng bộ số lượng  LƯU Ý: Nhập phiếu nguyên liệu mua trong nước phải nhập trong ngày  B1: Kiểm tra đã có ĐMH nguyên liệu chưa → nếu chưa thì tạo ĐMH   (Số lượng = phiếu giao hàng; Giá = theo hóa đơn hoặc DMH cũ)  B2: Nhập phiếu lên phần mềm MISA như nhập vật tư  B3: Nhấn Cất và In phiếu  LƯU Ý: Phiếu nhập màng (gói) - Màng phải quy đổi từ m2 → gói - Công thức: SL gói/m2 = 1.000.000 mm2 / (kích thước màng) - Số lượng gói = SL gói/m2 × SL m2 nhà cung cấp giao  (IMG_KEY: luu-y-phieu-nhap-mang-goi)  Diễn giải: nhập theo mẫu (IMG_KEY: mau-dien-giai-phieu-nhap-hang)  LƯU Ý: Phiếu nhập chai + thùng khách hàng mang tới - Mua hàng trong nước nhập kho + không có hóa đơn - Mã nhà cung cấp = mã khách hàng - Nhập mã trực tiếp trên phần mềm (không cần ĐMH)  (IMG_KEY: luu-y-phieu-nhap-chai-thung-khach-hang-mang-toi)",quy_trinh_mua_hang_misa,SL|kiểm_tra|mua_hàng|nhập_kho,mua hàng trong nước nhập kho là gì?
107,mua hàng trong nước nhập kho không qua kho,"* Phiếu nhập loại này được dùng đối với các mặt hàng mua với mục đích phục vụ sản xuất nhưng mức độ sử dụng phụ thuộc vào mức độ sản xuất (ví dụ: sử dụng cho máy móc hoặc vật tư mua cho phòng thí nghiệm).  Ví dụ: mực in cho máy date, keo dán nhãn, chai đựng mẫu cho PTN,…  * Các bước nhập phiếu tương tự như làm phiếu nhập trong nước qua kho. * Chỉ khác ở một số bước sau:  Bước 2: Chọn mũi tên bên phải và click chọn “Mua hàng trong nước không qua kho”.  * Lưu ý: dựa vào mục đích và bộ phận sử dụng, chọn đúng tài khoản chi phí. Ví dụ: dùng cho sản xuất → 6272,…  (IMG_KEY: buoc-2-mua-hang-trong-nuoc-nhap-kho-khong-qua-kho)",quy_trinh_mua_hang_misa,mua_hàng|nhập_kho,mua hàng trong nước nhập kho không qua kho là gì?
108,mua hàng nhập khẩu qua kho,"CÁC BƯỚC THỰC HIỆN:  B1: Gửi file tờ khai vào nhóm Vật tư – Kế toán  B2: Kiểm tra mã vật tư cần nhập kho dựa vào tên nguyên liệu và quy cách nhập kho. Với những chất chưa có mã hoặc quy cách khác → nhờ kế toán tạo mã mới.  (IMG_KEY: buoc-1-2-mua-hang-nhap-khau-qua-kho)  Mã nhà cung cấp: - Pháp nhân BMC, Delta, TPT: dùng mã nhà cung cấp nước ngoài. - Pháp nhân Agrishop: AGRISHOP_BVTV. - Pháp nhân BMC VP: BMC VĨNH PHÚC.  Pháp nhân BMC, Delta, TPT → chọn “Mua hàng nhập khẩu nhập kho” → Số PN đuôi NK  (IMG_KEY: mua-hang-nhap-khau-qua-kho)  Pháp nhân Agrishop và BMC Vĩnh Phúc → chọn “Mua hàng trong nước nhập kho” → Số PN đuôi NVT (nhập như phiếu nhập bình thường)  Diễn giải trên phiếu nhập: “Nhập kho nguyên liệu – <nhà cung cấp> – Số tờ khai, ngày tờ khai – Số hợp đồng + Pháp nhân ký (Ngày hợp đồng) – Tổng tờ khai – Số lượng thực nhận hôm đó”  Số hóa đơn → ghi SỐ TỜ KHAI Ngày hóa đơn → ghi NGÀY TỜ KHAI  (IMG_KEY: dien-giai-mua-hang-nhap-khau-qua-kho)  (IMG_KEY: phieu-nhap-chung-tu-mua-hang) (IMG_KEY: hoa-don-chung-tu-mua-hang)",quy_trinh_mua_hang_misa,kiểm_tra|mua_hàng|nhập_kho,mua hàng nhập khẩu qua kho là gì?
109,quy trình làm nhãn riêng gồm những bước chính nào?,Quy trình làm nhãn riêng gồm 8 bước: 1) Nhận lệnh in (T4 + T7); 2) Lên đơn hàng; 3) Kinh doanh và kế toán kiểm tra đơn hàng; 4) Trình ký (T4 + T7); 5) Gửi đơn hàng cho nhà in; 6) Duyệt in; 7) Theo dõi tiến độ nhãn về; 8) Kho kiểm tra nhãn và nhập kho.,nhan_mang_tui,kiểm_tra|nhập_kho,quy trình làm nhãn riêng gồm những bước chính nào? là gì?
110,"lệnh in nhãn riêng được nhận từ bộ phận nào, vào thời gian nào và trên kênh nào?","Lệnh in nhãn riêng được nhận từ CSKH C1 (BMC) và C2 (Phúc Thịnh) vào thứ 4 và thứ 7 hàng tuần, trên nhóm Zalo ""ĐẶT IN NHÃN RIÊNG"".",nhan_mang_tui,,"lệnh in nhãn riêng được nhận từ bộ phận nào, vào thời gian nào và trên kênh nào? là gì?"
111,"lệnh in thứ 4 thì trình ký vào ngày nào, và lệnh in thứ 7 thì trình ký vào ngày nào?",Lệnh in thứ 4 sẽ được trình ký vào thứ 7. Lệnh in thứ 7 sẽ được trình ký vào thứ 4 tuần kế tiếp.,khac,,"lệnh in thứ 4 thì trình ký vào ngày nào, và lệnh in thứ 7 thì trình ký vào ngày nào? là gì?"
112,một lệnh in nhãn riêng được in ra mấy bản và dùng để làm gì?,Mỗi lệnh in được in 3 bản: 1) Bản dùng để in nhãn; 2) Bản dùng để tạo mã vật tư; 3) Bản gửi kho vật tư để kiểm tra tồn kho nhãn.,nhan_mang_tui,kiểm_tra|tồn_kho,một lệnh in nhãn riêng được in ra mấy bản và dùng để làm gì? là gì?
113,phân biệt in tái bản trong lệnh in là gì?,"""In tái bản"" là in lại thiết kế nhãn đã từng được in trước đó, không thay đổi nội dung thiết kế.",nhan_mang_tui,thiết_kế,phân biệt in tái bản trong lệnh in là gì? là gì?
