question,answer
thùng q7 \n4.5l bmc,(IMG_KEY: thung-q7-\n4.5L-BMC)
thùng q7 \n4.5l phúc thịnh,(IMG_KEY: thung-q7-\n4.5L-phuc-thinh)
thùng q10 \n4.5l delta,(IMG_KEY: thung-q10-\n4.5L-delta)
thùng thùng trâu rừng mới \n4.5l delta,(IMG_KEY: thung-trau-rung-moi-\n4.5L-delta)
tem chống giả,- (IMG_KEY: tem-chong-gia-delta)\n- (IMG_KEY: tem-chong-gia-BMC)\n- (IMG_KEY: vi-tri-dan-tem-chong-gia)
thay đổi trên nhãn chai,(IMG_KEY: thay-doi-tren-nhan-chai)
nhãn + màng + túi,- (IMG_KEY: nhan-mang-tui-azin-rio)\n- (IMG_KEY: nhan-mang-tui-kenbast)\n- (IMG_KEY: nhan-mang-tui-gussi-bastar)
nội dung cần phải biết,"1. CÁC LOẠI VẬT TƯ (CHAI) SẼ CHUYỂN ĐỔI NẮP + SEAL CÓ LOGO BMC(IMG_KEY: chuyen-doi-nap-seal-co-logo-bmc)\n2. CHUYỂN ĐỔI CHAI 30-01: VUÔNG TRẮNG TRONG NẮP ĐỎ SANG  CHAI TRẮNG ĐỤC 30-02 (VẪN NẮP ĐỎ)(IMG_KEY: chuyen-doi-chai-30-01)\n3. SẢN PHẨM GARDONA 250SL KHÔNG PHÙ HỢP ĐÓNG BỘ CHAI PET TRÒN TRẮNG 100-03, 240-04, 480-01, 1000-03 VÀ CHAI 100-14 \n4. THIẾT KẾ SEAL MỚI > PHÂN BIỆT(IMG_KEY: seal-hd-seal-pet)"
tính kế hoạch vật tư," ""I. Tính kế hoạch vật tư hằng ngày và II. Tính kế hoạch đặt vật tư dự phòng"""
tính kế hoạch vật tư hằng ngày,"TÍNH KẾ HOẠCH VẬT TƯ HẰNG NGÀY\n\nCác bước thực hiện:\n\n1. Tính kế hoạch sản xuất\n2. Kiểm số lượng vật tư tồn trong kho\n3. Tính kế hoạch sử dụng vật tư\n4. Đặt hàng\n5. Cập nhật kế hoạch đặt hàng cho kho vật tư\n6. Theo dõi, kiểm tra và cập nhật những thay đổi (nếu có)\n\n------------------------------------------\n1. Tính kế hoạch sản xuất\n------------------------------------------\n\n* Tính số lượng thùng, chai sử dụng cho ngày tiếp theo dựa trên kế hoạch sản xuất.\n\n- Thùng: số lượng tổng của 1 loại thùng sử dụng trong kế hoạch.\n- Chai: số lượng tổng mỗi loại chai = số kiện × quy cách thùng.\n\n------------------------------------------\n2. Kiểm số lượng vật tư tồn trong kho\n------------------------------------------\n\n* Kiểm tra tồn kho từng loại chai có trong kế hoạch hôm sau và ghi nhận số lượng tương đối (lưu ý số lượng kiểm tra không được nhiều hơn số lượng thực tế tại kho).\n\n* Cách đếm: số lượng chai trong bao × tổng số bao chai (lưu ý kiểm tra cách xếp trên pallet 1 lớp gồm bao nhiêu bao).\n\n* Tồn chai các xưởng: 1, 4, 5\n* Tồn thùng các xưởng: 1 và 3\n\n* Lưu ý: một số loại chai tồn kho ít → cần có phương án cho về dự phòng.\n\n------------------------------------------\n3. Tính kế hoạch sử dụng vật tư\n------------------------------------------\n\nKết hợp với kho vật tư để tính kế hoạch dự kiến sử dụng vật tư trong ngày:\n\n* Kiểm tra từng loại chai, thùng có trong kế hoạch ngày mai → có kế hoạch sử dụng trong buổi chiều hay không.\n* Từ số liệu tồn kho thực tế – số lượng dự kiến dùng trong ngày = TỒN KHO THỰC TẾ CUỐI NGÀY.\n\nTính số lượng vật tư cần đặt thêm:\n\nNếu tồn kho cuối ngày – kế hoạch sản xuất ngày tiếp theo ≥ tồn MIN vật tư → KHÔNG cần đặt thêm.\nNgược lại → cần ĐẶT THÊM để đảm bảo đủ cho sản xuất.\n\nVí dụ:\n\nTồn thực tế chai 450-02: 10.000 chai\nSố lượng sử dụng trong ngày: 4.000 chai\nTồn cuối ngày: 6.000 chai\n\nKế hoạch ngày tiếp theo sử dụng 450-02: 12.000 chai\nTồn kho MIN loại này: 8.000 chai\n\n→ Ít nhất cần đặt thêm: 6.000 chai 450-02 để đủ kế hoạch\n→ Số lượng đặt hàng lý tưởng: 14.000 chai\n\n------------------------------------------\n4. Đặt hàng\n------------------------------------------\n\n* Ưu tiên đặt hàng nhà cung cấp trước 15h hằng ngày để nhà cung cấp có kế hoạch sắp xếp xe giao hàng hoặc xử lý phát sinh (ví dụ: hết xe, không đủ hàng,…).\n\n* Phân bổ vật tư và đặt hàng trên nhóm ZALO (danh sách nhà cung cấp đính kèm).\n\nLưu ý:\n* Không dồn quá nhiều mã chai lớn cho một nhà cung cấp.\n* Các mã có lượng dùng lớn (1000-02, 1000-04, can 5L…) chia đều cho 2–3 nhà cung cấp.\n* Chú ý thời gian giao hàng: gấp hay chỉ cần giao trong ngày.\n* Luôn có nhà cung cấp dự phòng thứ 3.\n* Đặt hàng xoay vòng giữa các nhà cung cấp.\n* Kiểm tra nhà cung cấp đã xác nhận giao hàng hay chưa.\n* Phân bổ số lượng theo chuyến xe (mang tính hỗ trợ nhà cung cấp, không bắt buộc).\n\n------------------------------------------\n5. Cập nhật kế hoạch đặt hàng cho kho vật tư\n------------------------------------------\n\n* Sau khi đặt hàng xong, bộ phận vật tư thông báo cụ thể số lượng và nhà cung cấp giao hàng trên nhóm → kho chủ động sắp xếp vị trí.\n* Thông báo thay đổi nhà cung cấp theo quy tắc “cuốn chiếu” (dùng hết nhà cung cấp này mới chuyển sang nhà cung cấp khác).\n* Trường hợp nhà cung cấp không giao đủ:\n  - Báo ngay cho người hướng dẫn để được xử lý.\n  - Nếu ảnh hưởng kế hoạch → báo sản xuất và kinh doanh để điều chỉnh kế hoạch phù hợp.\n\n------------------------------------------\n6. Theo dõi, kiểm tra và cập nhật các thay đổi\n------------------------------------------\n\n* Theo dõi liên tục thông tin trên nhóm nhà cung cấp và nhóm Kho vật tư để cập nhật khả năng đáp ứng và nhu cầu sản xuất.\n* Nhận thông tin giao hàng của nhà cung cấp: biển số xe + số người giao hàng.\n* Thông báo trên nhóm giao hàng để bảo vệ mở cổng."
tính kế hoạch đặt vật tư dự phòng,"TÍNH KẾ HOẠCH ĐẶT VẬT TƯ DỰ PHÒNG\n\n1. Kế hoạch đơn hàng chai thùng\n2. Kế hoạch đơn hàng nhãn chung và gói chung\n\n1. KẾ HOẠCH ĐƠN HÀNG CHAI THÙNG\n\n* Dựa vào báo cáo kế hoạch sản xuất hàng tuần\n* Nhập file theo form 1.4. KH CHAI và 1.4. KH THÙNG trong 2 tuần tiếp theo\n* VD: tuần 32 → sẽ nhập file tuần 33 và 34\n* Tính số lượng chai thùng dự kiến cần sử dụng trong 2 tuần tiếp theo bằng cách nhập số lượng mỗi mã chai hoặc mã thùng có kế hoạch sản xuất\n* Lên đơn hàng dự phòng\n\n(IMG_KEY: ke-hoach-don-hang-chai-thung)\n\n* Nhập file theo form 1.4. KH CHAI và 1.4. KH THÙNG (vd file chai – file thùng tương tự)\n(nhap-file-theo-form-1.4.khchai-va-1.4.khthung)\n\n* Từ số liệu có trong FORM, kế tiếp lên kế hoạch đặt hàng dự phòng để sử dụng\n* Lưu ý:\n- Đặt số lượng chai thùng dự phòng tại nhà cung cấp, để lấy hàng khi có nhu cầu SX\n- Luôn dự phòng nhiều nhà cung cấp, không dồn đơn về 1 nhà để tránh rủi ro thiếu hụt\n- Đặt số lượng vừa phải, để tránh tình trạng biến động giá\n- Kế hoạch chỉ là tham khảo nên luôn phải theo sát tiến độ thực tế để xử lý tình huống kịp thời\n\n* Cách tạo đơn trên phần mềm MISA\n(IMG_KEY: cach-tao-don-vat-tu-tren-phan-mem-misa)\n\n2. KẾ HOẠCH ĐƠN HÀNG NHÃN + GÓI CHUNG\n\n2.1. Dựa vào file 1.2 để làm kế hoạch đặt nhãn\n2.2. Kiểm tra tốc độ bán + thành phẩm trong kho\n2.3. Đặt hàng + lên đơn hàng\n2.4. Theo dõi lịch về nhãn/gói và KHSX hằng ngày\n\n2.1. Dựa vào file 1.2 để làm KH đặt nhãn + gói chung\n\n* Dựa vào báo cáo kế hoạch sản xuất hàng tuần\n* Nhập file theo form 1.2 KH NHÃN GÓI CHUNG trong 2 tuần tiếp theo (tương tự form chai thùng)\n* VD: tuần 32 → sẽ nhập file tuần 33 và 34\n* Tính số lượng kiện sản xuất dự kiến có kế hoạch đóng trong 2 tuần tiếp theo bằng cách nhập số lượng theo từng loại nhãn và quy cách đóng\n* Lên đơn hàng dự phòng\n\n(IMG_KEY: nhap-file-theo-form-1.2-kh-nhan-goi-chung)\n\n* Lưu ý: KHSX đưa theo thùng nhưng khi đặt sẽ quy ra nhãn/gói (số thùng × quy cách kiện + 2 nhãn/gói dán trên thùng).\nVD: 50T nhãn 450ml = 2000 + 2 nhãn thùng\n\n(IMG_KEY: luu-y-khsx-dua-theo-thung)\n\n2.2. Kiểm tra tốc độ bán + thành phẩm trong kho\n\n* Để số lượng đặt hàng chính xác và có dự phòng tốt hơn trong mùa vụ cần kiểm tra tốc độ bán và lượng thành phẩm trong kho\n* Xem tốc độ bán và hàng tồn thành phẩm bằng báo cáo trên MISA:\n  Báo cáo > Kho > Tổng hợp tồn kho > Chọn tham số > Kho TP > Lùi thời gian 1 tháng > Xem báo cáo\n\n(IMG_KEY: kiem-tra-toc-do-ban-va-thanh-pham-trong-kho)\n\n* Kiểm tra tốc độ bán tất cả các loại nhãn/gói trong 1 tháng:\n  - Xuất kho (Tốc độ bán)\n  - Cuối kỳ (Thành phẩm)\n\n(IMG_KEY: kiem-tra-toc-do-ban-tat-ca-cac-loai-nhan-goi-trong-1-thang)\n\n* In nhãn, kế đến check nhãn/gói rồi ghi tên nhãn/gói.\n  Phân chia nhà in phù hợp (độ gấp/giá/màu sắc,…) → check giá + số lượng in tối thiểu.\n* Nhãn/gói chung sẽ có 4 pháp nhân (BMC, Delta, Agrishop, Tỷ Phúc Thịnh).\n  Luôn luôn cập nhật thông tin các nhãn/gói mới và chỉnh sửa để in tái bản chính xác.\n* Đem đơn hàng qua cho thiết kế xem lại tất cả file in nhãn 1 lần nữa trước khi qua trình ký (Trưởng phòng → Sếp).\n\n(IMG_KEY: goi-roi)\n(IMG_KEY: goi-mang)\n(IMG_KEY: decal cuon)\n(IMG_KEY: nhan-giay)\n\n2.4. Theo dõi lịch về nhãn và KHSX hằng ngày\n\n- Đơn hàng đã ký → Thiết kế gửi file cho nhà in → Duyệt đơn → Theo dõi lịch về (trên group lịch về Zalo).\n- Theo dõi KHSX hằng ngày để điều phối nhãn hợp lý, tránh thiếu khi sản xuất hoặc về dư gây tồn kho (đặc biệt nhãn 900ml như Trâu Rừng, Khai Hoang Q10/Q7, Phúc Thịnh).\n\nCác sản phẩm cần chú ý xác nhận lại với kinh doanh trước khi đặt:\n+ Kajio 8gr, 5gr\n+ Pilot 450gr - BMC\n+ Pilot 500gr - Phúc Thịnh\n+ Niko - 35gr\n+ Bám dính 10ml\n\nThời gian gấp tối thiểu cho: Màng (15 ngày); Túi (3-5 ngày); Nhãn (2-3 ngày)."
quy trình làm phiếu nhập,1. Mua hàng trong nước nhập kho.\n2. Mua hàng trong nước không qua kho\n3. Mua hàng nhập khẩu qua kho
mua hàng trong nước nhập kho,"Mua vật tư nguyên liệu, được kiểm soát số lượng xuất rõ ràng. Ví dụ: chai, thùng, nhãn, nguyên liệu,…\n\nCác dạng thường gặp:\n- Nhập kho vật tư: chai, thùng, nhãn, gói\n- Nhập kho nguyên liệu mua trong nước\n\nKiểm tra phiếu giao hàng: mã vật tư, nhà cung cấp, số lượng,… → nếu OK thì nhập lên phần mềm MISA\n\nLƯU Ý: nhà cung cấp thường không ghi đúng mã vật tư mà chỉ mô tả → cần kiểm tra kỹ để nhập đúng mã vật tư\n\n(IMG_KEY: phieu-giao-hang)\n\nTHAO TÁC NHẬP MISA\n\n* Bước 1: Vào Mua hàng → Mua hàng → Thêm\n(IMG_KEY: buoc-1-mua-hang-trong-nuoc-nhap-kho)\n\n* Bước 2: Chọn mũi tên bên phải và click “Mua hàng trong nước nhập kho”\n\n* Bước 3: Chọn trạng thái hóa đơn theo thực tế:\n  - Nhận kèm hóa đơn\n  - Không kèm hóa đơn\n  - Không có hóa đơn\n\n* Bước 4: Chọn mã nhà cung cấp theo phiếu giao (VD: Thành Phát, Minh Thành)\n\n* Bước 5: Sau khi chọn nhà cung cấp, nhấp biểu tượng bánh răng bên trái → chọn “Lập từ đơn mua hàng”\n  Sau đó nhấp nút kính lúp để chọn mã vật tư tương ứng\n\n(IMG_KEY: buoc-5-mua-hang-trong-nuoc-nhap-kho)\n\n* Bước 6: Thay đổi thời gian lấy dữ liệu đơn hàng:\n  - “Từ ngày”: lùi tối thiểu 6 tháng\n  - “Đến ngày”: tăng 7 ngày so với ngày giao hàng\n  → nhấn “Lấy dữ liệu”\n\n* Bước 7: Chọn mã vật tư theo phiếu giao\n  - Nhập từ khóa cần tìm (mã vật tư, ĐMH, tên vật tư,…)\n  - Chọn đúng toàn bộ vật tư trong phiếu giao\n  - Nhấn “Đồng ý”\n\n(IMG_KEY: buoc-6-7-mua-hang-trong-nuoc-nhap-kho)\n\nLưu ý quan trọng tại bước 7:\n- Nếu một mã vật tư nằm trong nhiều đơn hàng + giá giống nhau → nhập hết số lượng đơn cũ, sau đó mới nhập đơn mới\n- Nếu một mã có nhiều đơn giá khác nhau → hỏi người hướng dẫn để nhập đúng giá (liên quan đến xuất hóa đơn)\n\n(IMG_KEY: truong-hop-mot-ma-co-nhieu-don-va-gia-khac)\n\n* Bước 8: Nhập số lượng nhận hàng + diễn giải\n(IMG_KEY: buoc-8-mua-hang-trong-nuoc-nhap-kho)\n\nLƯU Ý khi ở bước 2 chọn “nhận kèm hóa đơn”:\n- Nhập ký hiệu hóa đơn\n- Số hóa đơn\n- Ngày hóa đơn\n- Kiểm tra % thuế\n\n(IMG_KEY: luu-y-o-buoc-2-chon-nhan-kem-hoa-don)\n\n* Bước 9: Kiểm tra toàn bộ thông tin → nhấn CẤT là hoàn thành\n\nIn 2 phiếu kẹp với phiếu giao hàng → đưa cho Kho Vật Tư kiểm tra lại số lượng\nKho ký xác nhận → ghi số phiếu vào SỔ PHIẾU NHẬP → đưa cho kế toán ghi sổ\n\n* Một số lưu ý khi nhập chai, thùng, nhãn:\n  - Có thể nhập vượt tối đa 10% đơn mua hàng\n  - 3 nhà cung cấp không được nhập vượt 10%: Minh Thành, Tân Phú, Chinh Long\n  - Chai/nắp, thùng/lót phải nhập đồng bộ số lượng\n\nLƯU Ý: Nhập phiếu nguyên liệu mua trong nước phải nhập trong ngày\n\nB1: Kiểm tra đã có ĐMH nguyên liệu chưa → nếu chưa thì tạo ĐMH\n  (Số lượng = phiếu giao hàng; Giá = theo hóa đơn hoặc DMH cũ)\n\nB2: Nhập phiếu lên phần mềm MISA như nhập vật tư\n\nB3: Nhấn Cất và In phiếu\n\nLƯU Ý: Phiếu nhập màng (gói)\n- Màng phải quy đổi từ m2 → gói\n- Công thức: SL gói/m2 = 1.000.000 mm2 / (kích thước màng)\n- Số lượng gói = SL gói/m2 × SL m2 nhà cung cấp giao\n\n(IMG_KEY: luu-y-phieu-nhap-mang-goi)\n\nDiễn giải: nhập theo mẫu\n(IMG_KEY: mau-dien-giai-phieu-nhap-hang)\n\nLƯU Ý: Phiếu nhập chai + thùng khách hàng mang tới\n- Mua hàng trong nước nhập kho + không có hóa đơn\n- Mã nhà cung cấp = mã khách hàng\n- Nhập mã trực tiếp trên phần mềm (không cần ĐMH)\n\n(IMG_KEY: luu-y-phieu-nhap-chai-thung-khach-hang-mang-toi)"
mua hàng trong nước nhập kho không qua kho,"* Phiếu nhập loại này được dùng đối với các mặt hàng mua với mục đích phục vụ sản xuất nhưng mức độ sử dụng phụ thuộc vào mức độ sản xuất (ví dụ: sử dụng cho máy móc hoặc vật tư mua cho phòng thí nghiệm).\n\nVí dụ: mực in cho máy date, keo dán nhãn, chai đựng mẫu cho PTN,…\n\n* Các bước nhập phiếu tương tự như làm phiếu nhập trong nước qua kho.\n* Chỉ khác ở một số bước sau:\n\nBước 2: Chọn mũi tên bên phải và click chọn “Mua hàng trong nước không qua kho”.\n\n* Lưu ý: dựa vào mục đích và bộ phận sử dụng, chọn đúng tài khoản chi phí.\nVí dụ: dùng cho sản xuất → 6272,…\n\n(IMG_KEY: buoc-2-mua-hang-trong-nuoc-nhap-kho-khong-qua-kho)"
mua hàng nhập khẩu qua kho,"CÁC BƯỚC THỰC HIỆN:\n\nB1: Gửi file tờ khai vào nhóm Vật tư – Kế toán\n\nB2: Kiểm tra mã vật tư cần nhập kho dựa vào tên nguyên liệu và quy cách nhập kho.\nVới những chất chưa có mã hoặc quy cách khác → nhờ kế toán tạo mã mới.\n\n(IMG_KEY: buoc-1-2-mua-hang-nhap-khau-qua-kho)\n\nMã nhà cung cấp:\n- Pháp nhân BMC, Delta, TPT: dùng mã nhà cung cấp nước ngoài.\n- Pháp nhân Agrishop: AGRISHOP_BVTV.\n- Pháp nhân BMC VP: BMC VĨNH PHÚC.\n\nPháp nhân BMC, Delta, TPT → chọn “Mua hàng nhập khẩu nhập kho” → Số PN đuôi NK\n\n(IMG_KEY: mua-hang-nhap-khau-qua-kho)\n\nPháp nhân Agrishop và BMC Vĩnh Phúc → chọn “Mua hàng trong nước nhập kho” → Số PN đuôi NVT (nhập như phiếu nhập bình thường)\n\nDiễn giải trên phiếu nhập:\n“Nhập kho nguyên liệu – <nhà cung cấp> – Số tờ khai, ngày tờ khai – Số hợp đồng + Pháp nhân ký (Ngày hợp đồng) – Tổng tờ khai – Số lượng thực nhận hôm đó”\n\nSố hóa đơn → ghi SỐ TỜ KHAI\nNgày hóa đơn → ghi NGÀY TỜ KHAI\n\n(IMG_KEY: dien-giai-mua-hang-nhap-khau-qua-kho)\n\n(IMG_KEY: phieu-nhap-chung-tu-mua-hang)\n(IMG_KEY: hoa-don-chung-tu-mua-hang)"
quy trình làm nhãn riêng gồm những bước chính nào?,Quy trình làm nhãn riêng gồm 8 bước: 1) Nhận lệnh in (T4 + T7); 2) Lên đơn hàng; 3) Kinh doanh và kế toán kiểm tra đơn hàng; 4) Trình ký (T4 + T7); 5) Gửi đơn hàng cho nhà in; 6) Duyệt in; 7) Theo dõi tiến độ nhãn về; 8) Kho kiểm tra nhãn và nhập kho.
"lệnh in nhãn riêng được nhận từ bộ phận nào, vào thời gian nào và trên kênh nào?","Lệnh in nhãn riêng được nhận từ CSKH C1 (BMC) và C2 (Phúc Thịnh) vào thứ 4 và thứ 7 hàng tuần, trên nhóm Zalo ""ĐẶT IN NHÃN RIÊNG""."
"lệnh in thứ 4 thì trình ký vào ngày nào, và lệnh in thứ 7 thì trình ký vào ngày nào?",Lệnh in thứ 4 sẽ được trình ký vào thứ 7. Lệnh in thứ 7 sẽ được trình ký vào thứ 4 tuần kế tiếp.
một lệnh in nhãn riêng được in ra mấy bản và dùng để làm gì?,Mỗi lệnh in được in 3 bản: 1) Bản dùng để in nhãn; 2) Bản dùng để tạo mã vật tư; 3) Bản gửi kho vật tư để kiểm tra tồn kho nhãn.
phân biệt in tái bản trong lệnh in là gì?,"""In tái bản"" là in lại thiết kế nhãn đã từng được in trước đó, không thay đổi nội dung thiết kế."
in tái bản có chỉnh sửa được hiểu như thế nào?,"""In tái bản có chỉnh sửa"" là trường hợp thiết kế đã từng in nhưng khách hàng yêu cầu chỉnh một số chi tiết nhỏ như tên hiệu, hình ảnh, đơn vị phân phối hoặc một số thông tin trên nhãn mà không thay đổi quá nhiều bố cục."
khi khách hàng muốn thay đổi tên thương mại trên nhãn thì được xếp vào loại thiết kế nào?,"Khi khách hàng muốn thay đổi tên thương mại, thiết kế đó được xem là ""thiết kế mới"", không còn là in tái bản có chỉnh sửa."
khái niệm thiết kế mới trong quy trình in nhãn là gì?,"""Thiết kế mới"" là thiết kế nhãn chưa từng in lần nào và chưa có mã vật tư trên hệ thống."
"sau khi thiết kế chỉnh sửa được chốt, có còn lưu thiết kế cũ không?","Khi thiết kế chỉnh sửa đã được chốt, công ty sẽ không còn lưu thiết kế cũ nữa, chỉ giữ phiên bản đã chỉnh sửa."
in thiết kế tái bản được thực hiện dựa trên nguồn dữ liệu nào?,"In thiết kế tái bản được thực hiện dựa vào thư mục nhãn trên đường dẫn NAS của bộ phận vật tư, nơi lưu trữ file thiết kế nhãn đã in trước đó."
quy trình xử lý đối với in tái bản có chỉnh sửa và in thiết kế mới là gì?,"Đối với in tái bản có chỉnh sửa và thiết kế mới: lên nhóm khách hàng để kiểm tra nhãn khách đã chốt, gửi hình ảnh nhãn vào nhóm, thiết kế thêm ô tích, sau khi khách chốt thì lưu file thiết kế vào thư mục NAS và tiến hành in nhãn."
bước check nhãn dựa trên tài liệu nào và mục tiêu là gì?,"Bước check nhãn dựa vào thông tin trên giấy đăng ký và giấy hợp quy, nhằm kiểm tra nhãn theo 20 mục tiêu chuẩn để đảm bảo nhãn in đúng, đủ và tuân thủ quy định pháp lý."
có bao nhiêu mục nội dung cần kiểm tra khi check nhãn và một số mục chính là gì?,"Có 20 mục cần kiểm tra khi check nhãn, bao gồm: 1) Tên thương mại; 2) Hoạt chất, hàm lượng; 3) Số đăng ký; 4) Số hợp quy; 5) Đối tượng đăng ký; 6) Đơn vị đăng ký và địa chỉ; 7) Đơn vị ủy quyền và địa chỉ; 8) Đơn vị sản xuất; 9) Xuất xứ; 10) Canh mép; 11) Đơn vị phân phối; 12) Màu độc, biểu tượng độc; 13) Quy cách; 14) NSX, ngày đóng gói, HSD; 15) Liều lượng, cách dùng; 16) Thời gian cách ly; 17) Tên chai, kích thước; 18) Mã QR; 19) Câu nhận biết; 20) Sở hữu trí tuệ."
"từ tháng 6/2025 trở đi, quy định về xuất xứ trên nhãn có gì thay đổi?","Từ tháng 6/2025 trở đi, tất cả các nhãn sẽ bỏ thông tin về ""xuất xứ"" và không thể hiện các từ gây hiểu lầm về xuất xứ như ""sản phẩm của..."", ""nhập khẩu...""."
màu độc và biểu tượng độc ghs được quy định như thế nào theo số mức độ?,"Có 3 mức độ độc: mức 3 GHS màu vàng, mức 4 GHS màu vàng và mức 5 GHS màu xanh dương. Màu và biểu tượng phải thể hiện đúng theo mức độ độc trên giấy đăng ký và hợp quy."
khi kiểm tra số hợp quy cần lưu ý điều gì?,"Khi kiểm tra số hợp quy phải lưu ý thời hạn hiệu lực của giấy hợp quy, vì mỗi lần đăng ký mới sẽ có số hợp quy mới tương ứng."
cách xác định đơn vị sản xuất (đvsx) dựa trên giấy hợp quy như thế nào?,"Nếu trên giấy ghi ""Báo cáo đánh giá hợp quy của Công ty cổ phần BMC Việt Nam"" thì đơn vị sản xuất sẽ là BMC Việt Nam. Nếu ghi tên Công ty Agrishop hoặc Delta Thụy Sĩ thì ĐVSX sẽ là KCS."
quy định về canh mép đối với nhãn giấy là gì?,"Đối với nhãn giấy, toàn bộ nội dung phải canh mép phải, mép cách 10mm theo quy định chung khi dàn nhãn."
thời hạn sử dụng chuẩn đối với sản phẩm thuốc bvtv và thuốc côn trùng là bao lâu?,"Đối với thuốc BVTV, thời hạn sử dụng chuẩn là 2 năm. Đối với thuốc côn trùng có thể là 2 năm hoặc 3 năm tùy theo thông tin ghi trên giấy đăng ký."
kiểm tra sở hữu trí tuệ nhãn hiệu gồm mấy bước chính và đó là những bước nào?,"Kiểm tra sở hữu trí tuệ gồm 3 bước: 1) Truy cập trang web https://wipopublish.ipvietnam.gov.vn để tra tên hiệu theo từng từ, chọn nhóm sản phẩm 5 và 9; 2) Kiểm tra trên Google để xem có trùng thiết kế với công ty khác không; 3) Kiểm tra tên hiệu trong file Danh mục thuốc bảo vệ thực vật."
vì sao nên thực hiện cả 3 cách kiểm tra sở hữu trí tuệ cho tên hiệu nhãn?,"Nên kiểm tra cả trên WIPO/IP Việt Nam, Google và Danh mục thuốc BVTV để hạn chế tối đa rủi ro vi phạm sở hữu trí tuệ về tên hiệu hoặc thiết kế nhãn."
nếu phát hiện tên hiệu vi phạm sở hữu trí tuệ thì xử lý như thế nào?,"Nếu tên hiệu vi phạm sở hữu trí tuệ, cần liên hệ khách hàng để đổi sang tên hiệu mới, sau đó tiếp tục kiểm tra lại tên hiệu mới bằng 3 cách trước khi sửa nhãn."
quy tắc chung để ghi tên nhãn được quy định như thế nào?,"Quy tắc ghi tên nhãn là: NHÃN/GÓI – TÊN THƯƠNG MẠI – QUY CÁCH – (ĐẶC ĐIỂM LIỆU nếu có) – TÊN HIỆU – (C2 nếu có) – ĐƠN VỊ PHÂN PHỐI – ĐƠN VỊ QUẢN LÝ – (MÃ CHAI, KÍCH THƯỚC)."
"đối với nhãn riêng công ty phúc thịnh (c2), trên nhãn cần thể hiện thêm nội dung gì?","Đối với nhãn riêng của công ty Phúc Thịnh (C2), trên nhãn sẽ bổ sung câu ""Ủy thác bởi PT"" để thể hiện đơn vị được ủy thác."
phân biệt đơn vị phân phối và đơn vị quản lý trên nhãn như thế nào?,"Đơn vị quản lý là đơn vị thanh toán và làm việc trực tiếp với công ty. Trên nhãn có thể không ghi đơn vị phân phối, nhưng bắt buộc phải có tên đơn vị quản lý. Một đơn vị quản lý có thể có nhiều đơn vị phân phối."
mục tiêu của bước tạo mã trong quy trình làm nhãn riêng là gì?,"Bước tạo mã nhằm kiểm tra tình trạng in tái bản có chỉnh sửa hoặc thiết kế mới trên phần mềm MISA, xác định thiết kế nào chưa có mã và tạo mã vật tư mới để phục vụ lên đơn hàng và quản lý kho."
quy tắc đặt mã misa cho nhãn chai được quy định như thế nào?,"Mã nhãn chai có dạng NHAC????-STT, trong đó ???? là thể tích thực trên nhãn (ví dụ nhãn 900ml có mã NHAC900-XXX; quy cách 1 lít dùng NHAC01L-XXX; quy cách 4,5 lít dùng NHAC4.5L-XXX) và STT là số thứ tự liên tiếp của mã trước đó."
quy tắc đặt mã misa cho gói được quy định như thế nào?,"Mã gói có dạng GOI????-STT, trong đó ???? là khối lượng tịnh tính theo gram và luôn đủ 4 chữ số (ví dụ gói 50g sẽ có mã GOI0050-XXX); STT là số thứ tự liên tiếp của mã trước đó."
các bước thao tác trên misa để tạo mã vật tư nhãn mới là gì?,"Các bước tạo mã trên MISA: Bước 1: Vào MISA > Danh mục > Vật tư hàng hóa; Bước 2: Kiểm tra và đặt tên mã, chọn ""Thêm""; Bước 3: Nhập thông tin gồm Mã hàng (theo quy tắc), Tên hàng (theo quy tắc ghi tên nhãn), Nhóm vật tư hàng hóa (đơn vị quản lý), Đơn vị tính (nhãn, gói, cái...), Thuế (theo luật hiện hành), Kho ngầm định (Kho VTSX); Bước 4: Kiểm tra lại thông tin và chọn ""Cất""."
nguyên tắc chọn nhà cung cấp in đối với nhãn giấy là gì?,Đối với nhãn giấy: số lượng in từ 1.000 nhãn trở lên đặt tại nhà in MỘC ẤN; số lượng từ 2.000 nhãn trở lên có thể in tại MỘC ẤN hoặc MEKONG tùy phân bổ.
nguyên tắc chọn nhà cung cấp in đối với nhãn decal tờ và decal cuộn như thế nào?,"Đối với nhãn decal: decal tờ, số lượng từ 1.000 đến dưới 3.000 nhãn in tại MỘC ẤN; decal cuộn, số lượng từ 3.000 nhãn trở lên in tại THỊNH CHINH, ĐỨC ÂN hoặc AP."
"đối với bao gói, những nhà cung cấp in nào được sử dụng?","Đối với gói, công ty sử dụng nhà in MỘC ẤN và TÂN ĐỨC để in bao bì."
các bước cơ bản để tạo đơn hàng trên misa cho nhãn riêng là gì?,"Để tạo đơn hàng trên MISA: Truy cập MISA > vào mục ""Đơn mua hàng"" > chọn ""Thêm"", sau đó nhập tên nhà cung cấp, số lượng đặt in theo lệnh in và đơn giá, kiểm tra lại và chọn ""Cất""."
